Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.00048367574348944273
0.02,0.1,0.05,0.461315,0.5016835927455862
0.04,0.1,0.05,0.6984599999999999,0.7371039115890687
0.06,0.1,0.05,0.78130375,0.8210066632926978
0.08,0.1,0.05,0.8216475,0.8642046033784646
0.1,0.1,0.05,0.8457025,0.8905714721349852
0.12,0.1,0.05,0.86135,
0.14,0.1,0.05,0.8720125,
0.16,0.1,0.05,0.88044375,
0.18,0.1,0.05,0.887015,
0.2,0.1,0.05,0.8911474999999999,
0.22,0.1,0.05,0.8948112500000001,
0.24,0.1,0.05,0.8975162499999999,
0.26,0.1,0.05,0.90007125,
0.28,0.1,0.05,0.9007537500000001,
0.3,0.1,0.05,0.90205,
0.32,0.1,0.05,0.9036724999999999,
0.34,0.1,0.05,0.9048900000000001,
0.36,0.1,0.05,0.9047987500000001,
0.38,0.1,0.05,0.90612875,
0.4,0.1,0.05,0.906915,
0.42,0.1,0.05,0.9074850000000001,
0.44,0.1,0.05,0.9075225,
0.46,0.1,0.05,0.90768875,
0.48,0.1,0.05,0.9083875,
0.5,0.1,0.05,0.9080637500000001,
0.52,0.1,0.05,0.90834125,
0.54,0.1,0.05,0.90846125,
0.56,0.1,0.05,0.90851125,
0.58,0.1,0.05,0.9083575,
0.6,0.1,0.05,0.90847375,
0.62,0.1,0.05,0.90861125,
0.64,0.1,0.05,0.9092337500000001,
0.66,0.1,0.05,0.90918875,
0.68,0.1,0.05,0.9088825,
0.7000000000000001,0.1,0.05,0.90902625,
0.72,0.1,0.05,0.9091400000000001,
0.74,0.1,0.05,0.90877625,
0.76,0.1,0.05,0.9093275000000002,
0.78,0.1,0.05,0.90902375,
0.8,0.1,0.05,0.909325,
0.8200000000000001,0.1,0.05,0.90938875,
0.84,0.1,0.05,0.90869,
0.86,0.1,0.05,0.9086862500000001,
0.88,0.1,0.05,0.9091,
0.9,0.1,0.05,0.90933875,
0.92,0.1,0.05,0.9089737500000001,
0.9400000000000001,0.1,0.05,0.9087049999999999,
0.96,0.1,0.05,0.9092474999999999,
0.98,0.1,0.05,0.908965,
1.0,0.1,0.05,0.9089,
0.0,0.3,0.05,0.0,0.00013705499210180168
0.02,0.3,0.05,0.0,0.00051414917880592
0.04,0.3,0.05,0.217335,0.28699610525358993
0.06,0.3,0.05,0.42692375,0.5017133181005698
0.08,0.3,0.05,0.53082,0.6166265265691545
0.1,0.3,0.05,0.59505,0.688196725690639
0.12,0.3,0.05,0.6361300000000001,
0.14,0.3,0.05,0.66678875,
0.16,0.3,0.05,0.6863425000000001,
0.18,0.3,0.05,0.702605,
0.2,0.3,0.05,0.71503625,
0.22,0.3,0.05,0.72477375,
0.24,0.3,0.05,0.7322150000000001,
0.26,0.3,0.05,0.73861875,
0.28,0.3,0.05,0.7428837500000001,
0.3,0.3,0.05,0.74738,
0.32,0.3,0.05,0.7512675,
0.34,0.3,0.05,0.7539425,
0.36,0.3,0.05,0.75637,
0.38,0.3,0.05,0.75838375,
0.4,0.3,0.05,0.7598699999999999,
0.42,0.3,0.05,0.76094625,
0.44,0.3,0.05,0.76263625,
0.46,0.3,0.05,0.76349125,
0.48,0.3,0.05,0.7645625000000001,
0.5,0.3,0.05,0.765745,
0.52,0.3,0.05,0.7652100000000001,
0.54,0.3,0.05,0.7660887500000001,
0.56,0.3,0.05,0.76702875,
0.58,0.3,0.05,0.7665125,
0.6,0.3,0.05,0.76724,
0.62,0.3,0.05,0.7675350000000001,
0.64,0.3,0.05,0.7677812500000001,
0.66,0.3,0.05,0.768135,
0.68,0.3,0.05,0.7671287499999999,
0.7000000000000001,0.3,0.05,0.76881,
0.72,0.3,0.05,0.7684925,
0.74,0.3,0.05,0.76848625,
0.76,0.3,0.05,0.76854,
0.78,0.3,0.05,0.76839375,
0.8,0.3,0.05,0.7692837500000002,
0.8200000000000001,0.3,0.05,0.76843625,
0.84,0.3,0.05,0.76808875,
0.86,0.3,0.05,0.76969375,
0.88,0.3,0.05,0.76867875,
0.9,0.3,0.05,0.76894125,
0.92,0.3,0.05,0.7689437499999999,
0.9400000000000001,0.3,0.05,0.76900375,
0.96,0.3,0.05,0.76937,
0.98,0.3,0.05,0.76952,
1.0,0.3,0.05,0.7682925,
0.0,0.5,0.05,0.0,5.921336928539259e-05
0.02,0.5,0.05,0.0,0.00011414774667732752
0.04,0.5,0.05,0.0,0.0007758955359786216
0.06,0.5,0.05,0.1503175,0.21918025986514442
0.08,0.5,0.05,0.3033325,0.391883309192596
0.1,0.5,0.05,0.39733374999999993,0.5017111521491465
0.12,0.5,0.05,0.4606275,
0.14,0.5,0.05,0.50308125,
0.16,0.5,0.05,0.53524125,
0.18,0.5,0.05,0.5595987499999999,
0.2,0.5,0.05,0.5784737499999999,
0.22,0.5,0.05,0.59189,
0.24,0.5,0.05,0.60517125,
0.26,0.5,0.05,0.61457625,
0.28,0.5,0.05,0.622295,
0.3,0.5,0.05,0.6293562500000001,
0.32,0.5,0.05,0.63498875,
0.34,0.5,0.05,0.6395775,
0.36,0.5,0.05,0.6431975,
0.38,0.5,0.05,0.64607875,
0.4,0.5,0.05,0.6486600000000001,
0.42,0.5,0.05,0.6513187500000001,
0.44,0.5,0.05,0.6530725000000001,
0.46,0.5,0.05,0.6549575,
0.48,0.5,0.05,0.6565912500000001,
0.5,0.5,0.05,0.6578925000000001,
0.52,0.5,0.05,0.6595150000000001,
0.54,0.5,0.05,0.65972625,
0.56,0.5,0.05,0.6614762500000001,
0.58,0.5,0.05,0.6618275,
0.6,0.5,0.05,0.66268375,
0.62,0.5,0.05,0.6630525,
0.64,0.5,0.05,0.6635425,
0.66,0.5,0.05,0.66384875,
0.68,0.5,0.05,0.6645762500000001,
0.7000000000000001,0.5,0.05,0.6646437500000001,
0.72,0.5,0.05,0.6645262500000001,
0.74,0.5,0.05,0.6648775,
0.76,0.5,0.05,0.6645075,
0.78,0.5,0.05,0.6653475,
0.8,0.5,0.05,0.6655475000000002,
0.8200000000000001,0.5,0.05,0.66546,
0.84,0.5,0.05,0.6655187499999999,
0.86,0.5,0.05,0.6666624999999999,
0.88,0.5,0.05,0.6659825,
0.9,0.5,0.05,0.66595375,
0.92,0.5,0.05,0.6666075,
0.9400000000000001,0.5,0.05,0.6659225000000001,
0.96,0.5,0.05,0.66658625,
0.98,0.5,0.05,0.6663925,
1.0,0.5,0.05,0.66649125,
0.0,0.7,0.05,0.0,3.240219061104662e-05
0.02,0.7,0.05,0.0,6.626167804631039e-05
0.04,0.7,0.05,0.0,0.00013041217955868844
0.06,0.7,0.05,0.0,0.0014518967654664587
0.08,0.7,0.05,0.1256525,0.1860016543829366
0.1,0.7,0.05,0.24189625,0.3280142757426594
0.12,0.7,0.05,0.32219499999999995,0.4278767758595702
0.14,0.7,0.05,0.37508875,
0.16,0.7,0.05,0.41571375000000005,
0.18,0.7,0.05,0.44641125000000004,
0.2,0.7,0.05,0.47045999999999993,
0.22,0.7,0.05,0.49070625000000007,
0.24,0.7,0.05,0.5047575000000001,
0.26,0.7,0.05,0.5183625,
0.28,0.7,0.05,0.52811125,
0.3,0.7,0.05,0.53639875,
0.32,0.7,0.05,0.5442075,
0.34,0.7,0.05,0.5499875,
0.36,0.7,0.05,0.554855,
0.38,0.7,0.05,0.55907375,
0.4,0.7,0.05,0.5631900000000001,
0.42,0.7,0.05,0.56639875,
0.44,0.7,0.05,0.5687487499999999,
0.46,0.7,0.05,0.5707962499999999,
0.48,0.7,0.05,0.5728475,
0.5,0.7,0.05,0.5749425,
0.52,0.7,0.05,0.5759975,
0.54,0.7,0.05,0.5778512499999999,
0.56,0.7,0.05,0.5790974999999999,
0.58,0.7,0.05,0.58027375,
0.6,0.7,0.05,0.58157375,
0.62,0.7,0.05,0.5821237499999999,
0.64,0.7,0.05,0.58274625,
0.66,0.7,0.05,0.5832124999999999,
0.68,0.7,0.05,0.58350875,
0.7000000000000001,0.7,0.05,0.5846874999999999,
0.72,0.7,0.05,0.58461875,
0.74,0.7,0.05,0.584695,
0.76,0.7,0.05,0.58522875,
0.78,0.7,0.05,0.585765,
0.8,0.7,0.05,0.58615875,
0.8200000000000001,0.7,0.05,0.58616875,
0.84,0.7,0.05,0.5868075,
0.86,0.7,0.05,0.5864337499999999,
0.88,0.7,0.05,0.5865425,
0.9,0.7,0.05,0.58661375,
0.92,0.7,0.05,0.5872875,
0.9400000000000001,0.7,0.05,0.5874625,
0.96,0.7,0.05,0.5875724999999999,
0.98,0.7,0.05,0.58762,
1.0,0.7,0.05,0.58784875,
0.0,0.9,0.05,0.0,4.849760549520706e-05
0.02,0.9,0.05,0.0,3.175319728540665e-05
0.04,0.9,0.05,0.0,7.989526517361213e-05
0.06,0.9,0.05,0.0,0.00015735052178393792
0.08,0.9,0.05,0.0,0.0052111043179139
0.1,0.9,0.05,0.11837375,0.1662104760801111
0.12,0.9,0.05,0.20963125000000002,0.2864247919106577
0.14,0.9,0.05,0.27424624999999997,
0.16,0.9,0.05,0.32189375,
0.18,0.9,0.05,0.35878875,
0.2,0.9,0.05,0.38811625000000005,
0.22,0.9,0.05,0.4103275,
0.24,0.9,0.05,0.42906374999999997,
0.26,0.9,0.05,0.4442075,
0.28,0.9,0.05,0.4556775,
0.3,0.9,0.05,0.46569125000000006,
0.32,0.9,0.05,0.4743375,
0.34,0.9,0.05,0.4809999999999999,
0.36,0.9,0.05,0.48733375,
0.38,0.9,0.05,0.49225499999999994,
0.4,0.9,0.05,0.49695625,
0.42,0.9,0.05,0.50043875,
0.44,0.9,0.05,0.50352125,
0.46,0.9,0.05,0.5063075,
0.48,0.9,0.05,0.509055,
0.5,0.9,0.05,0.511055,
0.52,0.9,0.05,0.51260875,
0.54,0.9,0.05,0.5139612499999999,
0.56,0.9,0.05,0.515865,
0.58,0.9,0.05,0.51709875,
0.6,0.9,0.05,0.5177962500000001,
0.62,0.9,0.05,0.5186875,
0.64,0.9,0.05,0.51969125,
0.66,0.9,0.05,0.52030875,
0.68,0.9,0.05,0.52115875,
0.7000000000000001,0.9,0.05,0.5217562499999999,
