Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.0004638251919582739
0.02,0.1,0.05,0.45367374999999993,0.48657560162083097
0.04,0.1,0.05,0.66539,
0.06,0.1,0.05,0.75283625,
0.08,0.1,0.05,0.7973625000000001,
0.1,0.1,0.05,0.8270012499999999,
0.12,0.1,0.05,0.8451625,
0.14,0.1,0.05,0.8590625,
0.16,0.1,0.05,0.86781875,
0.18,0.1,0.05,0.8760249999999999,
0.2,0.1,0.05,0.88191,
0.22,0.1,0.05,0.887055,
0.24,0.1,0.05,0.8905012500000001,
0.26,0.1,0.05,0.89347125,
0.28,0.1,0.05,0.89592375,
0.3,0.1,0.05,0.8982337499999999,
0.32,0.1,0.05,0.9003725,
0.34,0.1,0.05,0.9010125000000001,
0.36,0.1,0.05,0.90227625,
0.38,0.1,0.05,0.9031187500000002,
0.4,0.1,0.05,0.9040712499999999,
0.42,0.1,0.05,0.90544,
0.44,0.1,0.05,0.9059162500000001,
0.46,0.1,0.05,0.90643125,
0.48,0.1,0.05,0.9065850000000001,
0.5,0.1,0.05,0.907105,
0.52,0.1,0.05,0.9073699999999999,
0.54,0.1,0.05,0.9074575,
0.56,0.1,0.05,0.9084,
0.58,0.1,0.05,0.908445,
0.6,0.1,0.05,0.90827875,
0.62,0.1,0.05,0.90856875,
0.64,0.1,0.05,0.90860625,
0.66,0.1,0.05,0.90890375,
0.68,0.1,0.05,0.90908875,
0.7000000000000001,0.1,0.05,0.9087212499999999,
0.72,0.1,0.05,0.9091825,
0.74,0.1,0.05,0.90861,
0.76,0.1,0.05,0.90871375,
0.78,0.1,0.05,0.90882875,
0.8,0.1,0.05,0.90887375,
0.8200000000000001,0.1,0.05,0.90914875,
0.84,0.1,0.05,0.90867875,
0.86,0.1,0.05,0.9092087499999999,
0.88,0.1,0.05,0.909555,
0.9,0.1,0.05,0.9093950000000001,
0.92,0.1,0.05,0.90900375,
0.9400000000000001,0.1,0.05,0.90932375,
0.96,0.1,0.05,0.9091612499999999,
0.98,0.1,0.05,0.90912625,
1.0,0.1,0.05,0.9085775000000001,
0.0,0.3,0.05,0.0,0.00014019554937128742
0.02,0.3,0.05,0.014450000000000003,0.07183755529112434
0.04,0.3,0.05,0.27462875,
0.06,0.3,0.05,0.41590875,
0.08,0.3,0.05,0.5044299999999999,
0.1,0.3,0.05,0.56235125,
0.12,0.3,0.05,0.60553125,
0.14,0.3,0.05,0.6353275,
0.16,0.3,0.05,0.6598700000000001,
0.18,0.3,0.05,0.6782587499999999,
0.2,0.3,0.05,0.69256125,
0.22,0.3,0.05,0.70338125,
0.24,0.3,0.05,0.713955,
0.26,0.3,0.05,0.7219787499999998,
0.28,0.3,0.05,0.7288724999999999,
0.3,0.3,0.05,0.73496125,
0.32,0.3,0.05,0.73928375,
0.34,0.3,0.05,0.74387625,
0.36,0.3,0.05,0.7470937499999999,
0.38,0.3,0.05,0.7496600000000001,
0.4,0.3,0.05,0.7530125000000001,
0.42,0.3,0.05,0.7542875000000001,
0.44,0.3,0.05,0.75691,
0.46,0.3,0.05,0.75873125,
0.48,0.3,0.05,0.7606900000000002,
0.5,0.3,0.05,0.7615725000000001,
0.52,0.3,0.05,0.7621925,
0.54,0.3,0.05,0.7629975,
0.56,0.3,0.05,0.76465625,
0.58,0.3,0.05,0.7648550000000001,
0.6,0.3,0.05,0.76599,
0.62,0.3,0.05,0.7666325,
0.64,0.3,0.05,0.76714125,
0.66,0.3,0.05,0.76709125,
0.68,0.3,0.05,0.76765625,
0.7000000000000001,0.3,0.05,0.7680512500000001,
0.72,0.3,0.05,0.767545,
0.74,0.3,0.05,0.7685175000000001,
0.76,0.3,0.05,0.76875625,
0.78,0.3,0.05,0.76869375,
0.8,0.3,0.05,0.76957,
0.8200000000000001,0.3,0.05,0.7684162499999999,
0.84,0.3,0.05,0.7688287500000002,
0.86,0.3,0.05,0.7690325,
0.88,0.3,0.05,0.7692725,
0.9,0.3,0.05,0.76929625,
0.92,0.3,0.05,0.768535,
0.9400000000000001,0.3,0.05,0.76837875,
0.96,0.3,0.05,0.7691925000000001,
0.98,0.3,0.05,0.7685575,
1.0,0.3,0.05,0.7688537500000001,
0.0,0.5,0.05,0.0,6.0813114311871474e-05
0.02,0.5,0.05,0.0,7.265517796143749e-05
0.04,0.5,0.05,0.0972775,0.13086436185019312
0.06,0.5,0.05,0.22042500000000004,
0.08,0.5,0.05,0.31514,
0.1,0.5,0.05,0.38304625000000003,
0.12,0.5,0.05,0.4348275,
0.14,0.5,0.05,0.47230125,
0.16,0.5,0.05,0.50457375,
0.18,0.5,0.05,0.52798125,
0.2,0.5,0.05,0.5490550000000001,
0.22,0.5,0.05,0.5660124999999999,
0.24,0.5,0.05,0.57989125,
0.26,0.5,0.05,0.5911624999999999,
0.28,0.5,0.05,0.6009349999999999,
0.3,0.5,0.05,0.60919625,
0.32,0.5,0.05,0.6177549999999999,
0.34,0.5,0.05,0.62380375,
0.36,0.5,0.05,0.6278325,
0.38,0.5,0.05,0.63349875,
0.4,0.5,0.05,0.6366700000000001,
0.42,0.5,0.05,0.6404675000000001,
0.44,0.5,0.05,0.64395375,
0.46,0.5,0.05,0.6472950000000001,
0.48,0.5,0.05,0.648935,
0.5,0.5,0.05,0.65074625,
0.52,0.5,0.05,0.65335375,
0.54,0.5,0.05,0.6545875000000001,
0.56,0.5,0.05,0.6559762500000003,
