Beta,Mu,Initial_Ratio,MC_Rho,MMCA_Rho
0.0,0.1,0.05,0.0,0.00048137396946078037
0.02,0.1,0.05,0.7086275,0.7493501899009409
0.04,0.1,0.05,0.829965,0.8745775716807871
0.06,0.1,0.05,0.8687625,0.9163649973134111
0.08,0.1,0.05,0.883585,0.9372621267949894
0.1,0.1,0.05,0.8943924999999999,
0.12,0.1,0.05,0.9002350000000001,
0.14,0.1,0.05,0.903545,
0.16,0.1,0.05,0.905385,
0.18,0.1,0.05,0.9063300000000001,
0.2,0.1,0.05,0.907625,
0.22,0.1,0.05,0.90767,
0.24,0.1,0.05,0.9082574999999999,
0.26,0.1,0.05,0.9087475,
0.28,0.1,0.05,0.9085250000000002,
0.3,0.1,0.05,0.9086974999999999,
0.32,0.1,0.05,0.908915,
0.34,0.1,0.05,0.9093800000000002,
0.36,0.1,0.05,0.908795,
0.38,0.1,0.05,0.9089525,
0.4,0.1,0.05,0.90864,
0.42,0.1,0.05,0.9097974999999999,
0.44,0.1,0.05,0.9088024999999998,
0.46,0.1,0.05,0.90929,
0.48,0.1,0.05,0.9087149999999999,
0.5,0.1,0.05,0.9090225000000001,
0.52,0.1,0.05,0.9090800000000001,
0.54,0.1,0.05,0.9089400000000001,
0.56,0.1,0.05,0.9084800000000002,
0.58,0.1,0.05,0.9088025000000002,
0.6,0.1,0.05,0.9090225000000001,
0.62,0.1,0.05,0.9086150000000001,
0.64,0.1,0.05,0.9090825000000001,
0.66,0.1,0.05,0.9088249999999999,
0.68,0.1,0.05,0.9091024999999999,
0.7000000000000001,0.1,0.05,0.9091449999999999,
0.72,0.1,0.05,0.9100050000000001,
0.74,0.1,0.05,0.90917,
0.76,0.1,0.05,0.9097000000000002,
0.78,0.1,0.05,0.9096450000000001,
0.8,0.1,0.05,0.9094874999999999,
0.8200000000000001,0.1,0.05,0.90912,
0.84,0.1,0.05,0.9086775,
0.86,0.1,0.05,0.90935,
0.88,0.1,0.05,0.9092025000000001,
0.9,0.1,0.05,0.9088799999999999,
0.92,0.1,0.05,0.9094149999999999,
0.9400000000000001,0.1,0.05,0.908775,
